id,tags,label
1536,little_busters! naoe_riki masayu 1boy blush bob_cut bow brown_eyes brown_hair clothing kneeling male male_focus one_knee pink_bow plaid plaid_skirt school_uniform serafuku short_hair skirt solo spread_legs squatting thighhighs thighs zettai_ryouiki crossdressing otoko_no_ko trap Rating:Questionable Score:4.9 Size:630x1000 User:anonymous,trap
6443,narutaru koga_norio kaimuari high_resolution censored pov pointless_censoring 1boy 2boys after_sex anal anus barefoot bed black_eyes black_hair body_hair bow earrings ejaculating_while_penetrated ejaculation erection feet femboi handsfree_ejaculation jewelry little_penis long_hair looking_at_viewer lying male male_focus male_on_femboy male_pov multiple_boys multiple_penises nude on_back out_of_frame penis penis_bow penis_ornament penis_ribbon pillow prostate_massage pubic_hair ribbon semen semen_in_anus semen_on_body semen_on_boy semen_on_hair sex sheets solo_focus tied_penis toes crossdressing otoko_no_ko shota trap yaoi contentious_content Rating:Explicit Score:4.7 Size:986x1485 User:anonymous,trap
11425,keroro_gunsou hinata_fuyuki mizuki_kotora 1boy ahoge bent_knees black_footwear blush bow bow_panties clothing detached_sleeves full_body legwear looking_down maid male male_focus male_only male_solo navel necktie pantsu school_uniform sitting solo stockings sweatdrop thighhighs underwear upskirt waitress wariza white_legwear white_panties white_underwear crossdressing otoko_no_ko shota trap contentious_content Rating:Questionable Score:4.7 Size:600x800 User:lordchair,trap
11483,happiness! watarase_jun kashiwamochi_yomogi 1boy :3 blush child cloak clothing halloween hat headwear jack-o'-lantern long_hair male male_focus male_only male_solo moon night pantyhose pumpkin purple_eyes purple_hair ribbon skirt sky solo tongue witch witch_hat crossdressing otoko_no_ko shota trap contentious_content Rating:Questionable Score:4.3 Size:630x638 User:anonymous,trap
11675,guilty_gear bridget_(guilty_gear) bridget_(guilty_gear)_(cosplay) bridget_(cosplay) white white_theme 1boy alternative_color bed brown_hair curtains dress erection frills garter green_eyes habit male nun penis thighhighs thighs zettai_ryouiki cosplay crossdressing otoko_no_ko shota trap contentious_content Rating:Explicit Score:4.8 Size:691x928 User:anonymous,trap
11695,guilty_gear bridget_(guilty_gear) simple_background white_background 1boy ankle_boots armpits blonde_hair blue_gloves blush boots brown_eyes clothes_pull clothing cross_print crying dress fingerless_gloves footwear full_body gloves hat headwear kneehighs legwear looking_at_viewer male male_focus nun one_eye_closed open_mouth orange_hair outstretched_arm ribbon shirt shirt_pull short_hair solo standing tears white_legwear white_shirt wince wink crossdressing otoko_no_ko shota trap contentious_content potential_duplicate Rating:Questionable Score:4.0 Size:580x640 User:anonymous,trap
11718,happiness! santa_claus watarase_jun kakesu 1:1_aspect_ratio 1boy bangs bare_arms bare_hips bare_shoulders blush christmas christmas_outfit clavicle clothing dress fur_trim fur-trimmed_dress fur-trimmed_hat gift hair_spread_out hand_up happy hat headwear holding holding_gift legwear long_hair looking_at_viewer male male_focus open_mouth pettanko pink_ribbon pom_pom_(clothes) purple_eyes purple_hair red_dress red_legwear ribbon ribbon-trimmed_dress sack santa_costume santa_hat short_dress side_slit sleeveless sleeveless_dress solo spaghetti_strap thighhighs very_long_hair crossdressing otoko_no_ko shota trap contentious_content Rating:Questionable Score:5.0 Size:800x800 User:anonymous,trap
11719,happiness! watarase_jun kashiwamochi_yomogi cowboy_shot 1boy alternative_hairstyle angry bangs blush covering covering_chest covering_crotch embarrassed folded_ponytail hair_up looking_at_viewer male male_focus male_only male_solo nude :o >:o open_mouth ponytail purple_eyes purple_hair shouting solo standing steam tears tied_hair v-shaped_eyebrows crossdressing otoko_no_ko shota trap contentious_content translated Rating:Questionable Score:3.3 Size:392x680 User:anonymous,trap
11722,happiness! watarase_jun kashiwamochi_yomogi 1boy animal_ears blush clothing long_hair male male_focus male_only male_solo nekomimi one_eye_closed pantsu purple_eyes purple_hair school_uniform smile solo tail thighhighs underwear wink crossdressing otoko_no_ko shota trap contentious_content potential_duplicate translated Rating:Questionable Score:4.5 Size:1391x1123 User:anonymous,trap
11760,moyashimon yuuki_kei ind 1boy black_hair clothing corset garter_belt gothic gothic_lolita hat headwear lingerie lolita_fashion long_hair male male_focus pale_skin pantsu ribbon solo thighhighs underwear undressing crossdressing otoko_no_ko shota trap contentious_content Rating:Questionable Score:4.7 Size:410x544 User:anonymous,trap
